Part Guid	Part Name	Assembly	Full Assembly Name	Drawing	Drawing Path	Stock Name	Material	Manufacturer	Finishes	Insulations	TCG	LCG	VCG	Length	Length with Green	Nest	Nest Drawing	Nominal Size	Weight	Article Number	Spool Name	Description	Area	Branch	Stock Type	System	SpoolGUID	PRIMARY AssemblyGUID
e64be1f1-e360-42c4-8d9d-316d699a7379	SPIRO-SAFE PIPE 125-031	Unspooled HVAC	PROJECT/U01/Unspooled HVAC	610_U01_Air condition and ventilation_TD	Units\\U01\\HVAC\\610_U01_Air condition and ventilation_TD.dwg	SPIRO-SAFE PIPE 125	Steel galv	MISC			-3146	46749	6458	1658	1658	N/A	N/A	N/A	2.985	N/A	N/A	N/A	N/A	EC1.2 / 152	N/A	611	NULL	f2b7e1a0-d71f-4a6b-b56f-0becf08faaaa
e64d77b7-fe53-42fa-a89a-3fcfa2b66e66	HC 085 SX	Unassigned Equipment	PROJECT/U02/Unassigned Equipment	615_U02_Chilled water	Units\\U02\\Piping\\615_U02_Chilled water.dwg	HC 085 SX	N/A	LENNOX			195	38112	5950	N/A	N/A	N/A	N/A	N/A	26	N/A	N/A	N/A	N/A	N/A	N/A	N/A	NULL	7750d9dd-79a0-4346-9a01-e543081373d8
e6533a4d-1af3-4851-b3cc-be0bb711ec85	P-13233	Unassigned Pipe	PROJECT/U02/Unassigned Pipe	623_U02_Heating water	Units\\U02\\Piping\\623_U02_Heating water.dwg	CHK-MISC-671458-DN80-FL	Stainless Steel 1.4401	DEFAULT			-3149	34926	6117	N/A	N/A	N/A	N/A	80 mm	36	N/A	N/A	N/A	N/A	623-HS01	N/A	623	NULL	e6191842-d6c2-4843-924a-0d2d26e7b927
e66244de-15aa-4fc8-8a93-11a143afb4bf	P-3471	Unspooled Pipe	PROJECT/U01/Unspooled Pipe	122_U01_Vent filling and sounding pipes	Units\\U01\\Piping\\122_U01_Vent filling and sounding pipes.dwg	PIPE-60,3x4,5-1.4571	Stainless Steel 1.4571	MISC			6092	41000	5130	2045	2045	N/A	N/A	50 mm	12.576	N/A	N/A	N/A	N/A	122-V03	N/A	122	NULL	dac3d286-ab37-4023-9a85-5cb778534578
e663ed1c-5241-49ba-94a8-47c79b9f7e3e	SSI--Unassigned Supports-P141	Unassigned Supports	PROJECT/U02/Unassigned Supports	U02_Hangers and Supports	Units\\U02\\DistributedSystemSupport\\U02_Hangers and Supports.dwg	PL12	Steel Gr. A	ACME		N/A	-736	28168	730	N/A	N/A	N/A	N/A	N/A	2.101	N/A	N/A	N/A	22307	N/A	N/A	N/A	NULL	8ce83c58-dc56-4e79-8f30-44a8bb47d633
e674c440-11be-4f9b-8d6e-8770b304fec2	P-3089	Unassigned Pipe	PROJECT/U02/Unassigned Pipe	641_U02_Bilge and ballast	Units\\U02\\Piping\\641_U02_Bilge and ballast.dwg	BFY-EVBS-MISC-526280-DN80-WAFER	Cast iron GG 25	MISC			-1750	36750	1897	N/A	N/A	N/A	N/A	80 mm	4.9	N/A	N/A	N/A	N/A	641-BL04	N/A	641	NULL	e6191842-d6c2-4843-924a-0d2d26e7b927
e67539ad-2f21-4ba1-b63b-0510f40f67f0	SPIRO-INSUL BEND 100 90-001	Unspooled HVAC	PROJECT/U01/Unspooled HVAC	610_U01_Air condition and ventilation_TD	Units\\U01\\HVAC\\610_U01_Air condition and ventilation_TD.dwg	SPIRO-INSUL BEND 100 90	Steel galv	MISC		GLASS WOOL 16mm	-39	44655	6490	173	173	N/A	N/A	N/A	0.077	N/A	N/A	N/A	N/A	AC1 / 101	N/A	612	NULL	f2b7e1a0-d71f-4a6b-b56f-0becf08faaaa
e67be47b-b2cb-4fca-a75a-2bfbdc431d94	CMP-TYPE49-DN125-007	Unassigned Equipment	PROJECT/U02/Unassigned Equipment	615_U02_Chilled water	Units\\U02\\Piping\\615_U02_Chilled water.dwg	CMP-TYPE49-DN125	N/A	WILLBRANDT		20mm	3424	30296	5782	N/A	N/A	N/A	N/A	N/A	7.2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	NULL	7750d9dd-79a0-4346-9a01-e543081373d8
e67f13ba-42f8-4d92-a45a-8a703b19286c	P-2478	Unspooled Pipe	PROJECT/U01/Unspooled Pipe	641_U01_Bilge and ballast	Units\\U01\\Piping\\641_U01_Bilge and ballast.dwg	PIPE-W-88,9x3,6-ST37.0	Steel St 37.0	MISC			406	40024	742	4468	4468	N/A	N/A	80 mm	33.826	N/A	N/A	N/A	N/A	641-BL03	N/A	641	NULL	dac3d286-ab37-4023-9a85-5cb778534578
e6a73d85-66d8-4324-b39d-0787bb8259cc	P-3556	Unspooled Pipe	PROJECT/U01/Unspooled Pipe	632_U01_Sanitary fresh water TTD	Units\\U01\\Piping\\632_U01_Sanitary fresh water TTD.dwg	PIPE-SANPRESS-42,0x1,5-1.4401	Stainless Steel 1.4401	VIEGA		20mm	2363	42169	1493	1789	1789	N/A	N/A	40 mm	2.737	N/A	N/A	N/A	N/A	632-FF01	N/A	632	NULL	dac3d286-ab37-4023-9a85-5cb778534578
e6a8bab8-e8a4-41fe-9974-fffdc285d2fc	SSI-0207-P03-P01	P03	PROJECT/U02/0207/0207-ES07/0207-ES06/P03	U02_L2500 PS	Units\\U02\\Structure\\LngBhd\\U02_L2500 PS.dwg	PL09	Steel Gr. A	ACME		N/A	2496	31571	5720	N/A	N/A	U02_PL09-NT028	U02_PL09	N/A	1046.606	N/A	N/A	Bhd 2500 Fwd Port	14813960	N/A	N/A	N/A	NULL	bd146d82-6b3e-4f5d-900a-f1feab2d020b
e6b02cdf-718a-4151-9b93-c9e635b99884	SSI-0102-P11-P05	P11	PROJECT/U01/0102/0102-ES06/0102-ES05/0102-ES04/0102-ES03/P11	U01_FR68	Units\\U01\\Structure\\Frame\\U01_FR68.dwg	PL09	Steel Gr. A	ACME		N/A	4578	40804	3938	N/A	N/A	U01_PL09-NT001	U01_PL09	N/A	3.452	N/A	N/A	Bhd Fr.68	48859	N/A	N/A	N/A	NULL	d601ed33-7918-4cad-a4e4-6cc8c3dd3d4a
e6c13511-e0af-4c31-83bb-a074afb39e31	P-818	Unassigned Pipe	PROJECT/U02/Unassigned Pipe	641_U02_Bilge and ballast	Units\\U02\\Piping\\641_U02_Bilge and ballast.dwg	SDNR-MISC-655261-DN80-FL	Cast iron GG 25	MISC			-5594	34881	2514	N/A	N/A	N/A	N/A	80 mm	24.5	N/A	N/A	N/A	N/A	641-BL01	N/A	641	NULL	e6191842-d6c2-4843-924a-0d2d26e7b927
e6c5eaf4-048b-44cb-a04f-b46e9e39121d	SSI-0101-P100-F01	P100	PROJECT/U01/0101/0101-ES15/P100	U01_L2500 PS	Units\\U01\\Structure\\LngBhd\\U01_L2500 PS.dwg	FB 150x12	Steel Gr. A	ACME		N/A	2495	45305	904	529	529	FB 150x12-037	N/A	N/A	6.306	N/A	N/A	Bracket 2500 (P)	79410	N/A	Flat Bar	N/A	NULL	2726da1d-77bc-4d90-8735-5a57fcc8933b
e6cb2e4a-47ad-4f1c-8034-62b5dd5e0453	P-4212	Unspooled Pipe	PROJECT/U02/Unspooled Pipe	615_U02_Chilled water	Units\\U02\\Piping\\615_U02_Chilled water.dwg	ELBOW-90-3-88,9x2,9-St 37.0	Steel St 37.0	MISC		20mm	3023	27521	6034	179	N/A	N/A	N/A	80 mm	1.12	N/A	N/A	N/A	N/A	CR01	N/A	615	NULL	b98c9a71-f7fa-47ae-b9a7-92a591f7a579
e6cd1e89-6631-4c09-bbc8-88290344c4af	P-95	Unassigned Supports	PROJECT/U02/Unassigned Supports	542_U02_Freshwater cooling auxiliaries	Units\\U02\\Piping\\542_U02_Freshwater cooling auxiliaries.dwg	U-bolt-DN80	N/A	ROSENBERG		N/A	2637	30575	5529	N/A	N/A	N/A	N/A	N/A	0.2	N/A	N/A	N/A	N/A	542-02-FC05	U bolt	542-02	NULL	8ce83c58-dc56-4e79-8f30-44a8bb47d633
e6d4d941-80a3-40a6-ab19-e7465e706310	SSI-0106-P16-S04	P16	PROJECT/U01/0106/0106-ES10/0106-ES09/0106-ES08/0106-ES07/0106-ES04/P16	U01_FR74	Units\\U01\\Structure\\Frame\\U01_FR74.dwg	HP160x8	Steel Gr. A	ACME		N/A	-493	44305	3424	1322	1322	HP160x8-030	N/A	N/A	16.683	N/A	N/A	Bhd Fr.74	N/A	N/A	Bulb Flat	N/A	NULL	6799290c-ec57-472e-a19f-aa1fae4ceb8e
e6e14116-cbc4-4e73-b5ee-ff803cd538cf	P-4240	Unspooled Pipe	PROJECT/U01/Unspooled Pipe	672_U01_Black and grey water TD	Units\\U01\\Piping\\672_U01_Black and grey water TD.dwg	PIPE-53x1,5-STgalv-L250-1-LORO-X	Steel galv	LOROWERK			1967	46630	6526	139	139	N/A	N/A	50 mm	0.278	N/A	N/A	N/A	N/A	672-BW01	N/A	672	NULL	dac3d286-ab37-4023-9a85-5cb778534578
e6e37281-b323-48c3-ae7c-57234f104f35	P-13177	Unspooled Pipe	PROJECT/U02/Unspooled Pipe	623_U02_Heating water	Units\\U02\\Piping\\623_U02_Heating water.dwg	ELBOW-90-2216XL-76,1x2,0-VIEGA	Bronze Rg	VIEGA			-5834	33469	3682	204	N/A	N/A	N/A	65 mm	0.944	N/A	N/A	N/A	N/A	623-HR01	N/A	623	NULL	b98c9a71-f7fa-47ae-b9a7-92a591f7a579
e6e83fe0-8efb-440e-98c8-4fce0b889c56	L4-1-7	P03	PROJECT/U02/0207/0207-ES07/0207-ES06/P03	U02_L2500 PS	Units\\U02\\Structure\\LngBhd\\U02_L2500 PS.dwg	PL07	Steel Gr. A	ACME		N/A	2504	30012	6628	N/A	N/A	U02_PL07-NT004	U02_PL07	N/A	0.917	N/A	N/A	Bhd 2500 Fwd Port	16693	N/A	N/A	N/A	NULL	bd146d82-6b3e-4f5d-900a-f1feab2d020b
e6f00b25-c795-47a2-8a58-f8deb064a8a9	P-2324	Unspooled Pipe	PROJECT/U02/Unspooled Pipe	641_U02_Bilge and ballast	Units\\U02\\Piping\\641_U02_Bilge and ballast.dwg	TEE-88,9x3,2-88,9x3,2-St 37.0	Steel St 37.0	MISC			-5581	34518	2514	N/A	N/A	N/A	N/A	80 mm	1.95	N/A	N/A	N/A	N/A	641-BL01	N/A	641	NULL	b98c9a71-f7fa-47ae-b9a7-92a591f7a579
e6f23a08-bca8-4ece-a125-e689343a6be9	P-13003	Unspooled Pipe	PROJECT/U02/Unspooled Pipe	623_U02_Heating water	Units\\U02\\Piping\\623_U02_Heating water.dwg	TEE-RED-2418-42x35x42-VIEGA	Copper Cu	VIEGA			-6212	34023	4583	N/A	N/A	N/A	N/A	40 mm - 32 mm	0.27	N/A	N/A	N/A	N/A	623-HS01	N/A	623	NULL	b98c9a71-f7fa-47ae-b9a7-92a591f7a579
e6f40259-6686-4ffa-9dc1-2cc83e44e1d8	SSI-0104-P01-S03	P01	PROJECT/U01/0104/0104-ES05/0104-ES04/P01	U01_FR67	Units\\U01\\Structure\\Frame\\U01_FR67.dwg	HP140x8	Steel Gr. A	ACME		N/A	6420	40206	5380	2553	2553	HP140x8-044	N/A	N/A	26.749	N/A	N/A	Shell	N/A	N/A	Bulb Flat	N/A	NULL	b966b41b-6aeb-4a63-bc96-6cc8ca5ceb40
e70207b6-3035-4bc2-ab3a-14e7e8333c14	DIN 87373 FORM D	Unassigned Equipment	PROJECT/U01/Unassigned Equipment	641_U01_Bilge and ballast	Units\\U01\\Piping\\641_U01_Bilge and ballast.dwg	DIN 87373 FORM D	N/A	N/A			-1265	44233	1411	N/A	N/A	N/A	N/A	N/A	10	N/A	N/A	N/A	N/A	N/A	N/A	N/A	NULL	7ae53862-bec8-42de-a6b1-ed04b3bcaeb3
e7036207-5c17-4a2f-bf8b-5f89f86505a8	P-3003	Unspooled Pipe	PROJECT/U01/Unspooled Pipe	641_U01_Bilge and ballast	Units\\U01\\Piping\\641_U01_Bilge and ballast.dwg	ELBOW-90-3-114,3x3,6-St 37.0	Steel St 37.0	MISC			-1698	39148	1769	239	N/A	N/A	N/A	100 mm	2.34	N/A	N/A	N/A	N/A	641-BL04	N/A	641	NULL	dac3d286-ab37-4023-9a85-5cb778534578
e70a6e57-e481-415a-aa82-a1d59aacd056	SSI-0105-P01-P20	P01	PROJECT/U01/0105/0105-ES06/0105-ES05/P01	U01_FR78	Units\\U01\\Structure\\Frame\\U01_FR78.dwg	PL08	Steel Gr. A	ACME		N/A	-4526	46796	4238	N/A	N/A	U01_PL08-NT009	U01_PL08	N/A	3.036	N/A	N/A	Shell	48338	N/A	N/A	N/A	NULL	90f5d28d-f309-4d68-b08c-00c554e8fbc6
e7129cf2-e030-4ffa-81cd-475b2e52081a	COUPLING-MISC-D44.5-014	Unassigned Equipment	PROJECT/U01/Unassigned Equipment	672_U01_Black and grey water TTD	Units\\U01\\Piping\\672_U01_Black and grey water TTD.dwg	COUPLING-MISC-D44.5	N/A	MISC			-1380	39354	3886	N/A	N/A	N/A	N/A	N/A	0.5	N/A	N/A	N/A	N/A	N/A	N/A	N/A	NULL	7ae53862-bec8-42de-a6b1-ed04b3bcaeb3
e71a9d3c-19da-47ad-a8ea-b7c76b067b1c	P-10768	Unspooled Pipe	PROJECT/U02/Unspooled Pipe	542_U02_Freshwater cooling auxiliaries	Units\\U02\\Piping\\542_U02_Freshwater cooling auxiliaries.dwg	ELBOW-90-3-168,3x4,5-St 37,0	Steel St 37.0	MISC			-2814	27917	3485	360	N/A	N/A	N/A	150 mm	6.51	N/A	N/A	N/A	N/A	542-02-FC02	N/A	542-02	NULL	b98c9a71-f7fa-47ae-b9a7-92a591f7a579
